district,block,village,land_stats,total_pixels
ganjam,bhanjanagar,dadaralunda,"{""0"": 92137, ""10"": 28135, ""20"": 53, ""30"": 16217, ""40"": 37633, ""50"": 526, ""60"": 1431, ""80"": 103}",176235
ganjam,bhanjanagar,dhaumundia,"{""0"": 20232, ""10"": 4727, ""20"": 29, ""30"": 1176, ""40"": 2136, ""60"": 49, ""80"": 5433, ""90"": 356}",34138
ganjam,bhanjanagar,durgaprasad(mitriki,"{""0"": 38729, ""10"": 19480, ""20"": 72, ""30"": 2640, ""40"": 3435, ""50"": 233, ""60"": 190}",64779
ganjam,bhanjanagar,g.,"{""0"": 7215, ""10"": 931, ""30"": 3, ""40"": 10474, ""50"": 26, ""60"": 47}",18696
ganjam,bhanjanagar,ghantaradiha,"{""0"": 3165, ""10"": 3294, ""30"": 19, ""40"": 14, ""60"": 18}",6510
ganjam,bhanjanagar,hatadhepa,"{""0"": 73394, ""10"": 5247, ""30"": 1408, ""40"": 4812, ""50"": 9, ""60"": 273}",85143
ganjam,bhanjanagar,jamadanda,"{""0"": 25261, ""10"": 12191, ""20"": 99, ""30"": 2268, ""40"": 13264, ""50"": 112, ""60"": 512, ""80"": 761}",54468
ganjam,bhanjanagar,kendupalli,"{""0"": 15484, ""10"": 1469, ""20"": 7, ""30"": 236, ""40"": 5485, ""60"": 17}",22698
ganjam,bhanjanagar,khurudugochha,"{""0"": 9233, ""10"": 2409, ""20"": 101, ""30"": 796, ""40"": 8206, ""50"": 72, ""60"": 408, ""80"": 23}",21248
ganjam,bhanjanagar,kiridikupa,"{""0"": 38166, ""10"": 40277, ""20"": 342, ""30"": 3328, ""40"": 63}",82176
ganjam,bhanjanagar,lunabali,"{""0"": 40899, ""10"": 10371, ""30"": 1041, ""40"": 52917, ""50"": 305, ""60"": 1622, ""80"": 3032, ""90"": 7}",110194
ganjam,bhanjanagar,narangipalli,"{""0"": 9091, ""10"": 3923, ""20"": 26, ""30"": 1271, ""40"": 10414, ""50"": 205, ""60"": 311, ""80"": 1474}",26715
ganjam,bhanjanagar,narigochha,"{""0"": 60041, ""10"": 18034, ""20"": 18, ""30"": 7146, ""40"": 29517, ""50"": 86, ""60"": 288}",115130
ganjam,bhanjanagar,rajakundupalli,"{""0"": 21437, ""10"": 10604, ""20"": 14, ""30"": 3589, ""40"": 23278, ""50"": 203, ""60"": 623, ""80"": 143}",59891
ganjam,bhanjanagar,ranikiari,"{""0"": 29452, ""10"": 9265, ""20"": 25, ""30"": 2873, ""40"": 19135, ""50"": 44, ""60"": 454}",61248
ganjam,bhanjanagar,sidhapadar,"{""0"": 11309, ""10"": 3509, ""20"": 1, ""30"": 1109, ""40"": 10, ""60"": 108}",16046
ganjam,bhanjanagar,sunapalli(pudringi),"{""0"": 54308, ""10"": 7369, ""20"": 14, ""30"": 1928, ""40"": 6326, ""50"": 10, ""60"": 211, ""80"": 267}",70433
ganjam,bhanjanagar,t.,"{""0"": 710, ""10"": 711, ""30"": 37, ""40"": 661, ""50"": 10, ""60"": 47}",2176
ganjam,bhanjanagar,tabhapalli,"{""0"": 6035, ""10"": 3176, ""20"": 1, ""30"": 416, ""40"": 4128, ""50"": 80, ""60"": 36, ""80"": 20}",13892
ganjam,bhanjanagar,tota,"{""0"": 36572, ""10"": 17985, ""20"": 32, ""30"": 2858, ""40"": 16211, ""50"": 143, ""60"": 293}",74094
ganjam,bhanjanagar,u.,"{""0"": 124807, ""10"": 84355, ""20"": 350, ""30"": 34628, ""40"": 51511, ""50"": 105, ""60"": 7104}",302860
ganjam,buguda,bedhakhala,"{""0"": 3308, ""10"": 2638, ""30"": 1734, ""40"": 14, ""60"": 6}",7700
ganjam,buguda,kanasarala,"{""0"": 23851, ""10"": 10398, ""20"": 7, ""30"": 335, ""40"": 1507, ""60"": 136}",36234
ganjam,buguda,madhapalli,"{""0"": 16295, ""10"": 7729, ""20"": 4, ""30"": 255, ""40"": 9123, ""50"": 91, ""60"": 157, ""80"": 276}",33930
ganjam,buguda,masanisahi,"{""0"": 160682, ""10"": 69605, ""20"": 7473, ""30"": 10552, ""40"": 21328, ""50"": 7413, ""60"": 11887, ""80"": 1005}",289945
ganjam,buguda,nuapalli,"{""0"": 59971, ""10"": 23789, ""20"": 55, ""30"": 4104, ""40"": 11298, ""50"": 3, ""60"": 420}",99640
ganjam,chikiti,ambajhola,"{""0"": 6964, ""10"": 4988, ""20"": 5, ""30"": 250, ""40"": 1135, ""60"": 2}",13344
ganjam,chikiti,balipadar,"{""0"": 5991, ""10"": 4387, ""20"": 70, ""30"": 1297, ""40"": 1785, ""50"": 2, ""60"": 261, ""80"": 277}",14070
ganjam,chikiti,batapalli,"{""0"": 5133, ""10"": 6777, ""30"": 61, ""40"": 441, ""50"": 1, ""60"": 31}",12444
ganjam,chikiti,k.khududi,"{""0"": 16728, ""10"": 2035, ""20"": 52, ""30"": 457, ""40"": 8915, ""50"": 89, ""60"": 168, ""80"": 431}",28875
ganjam,chikiti,nimakudia,"{""0"": 16026, ""10"": 3348, ""20"": 15, ""30"": 1970, ""40"": 8513, ""50"": 50, ""60"": 90}",30012
ganjam,chikiti,nuabandha,"{""0"": 1703, ""10"": 1679, ""30"": 6, ""40"": 626, ""50"": 6, ""60"": 12}",4032
ganjam,chikiti,rajapalli,"{""0"": 11589, ""10"": 3874, ""20"": 12, ""30"": 2760, ""40"": 6547, ""50"": 101, ""60"": 1034}",25917
ganjam,chikiti,ramguda,"{""0"": 20374, ""10"": 21087, ""20"": 69, ""30"": 921, ""40"": 4969, ""50"": 27, ""60"": 403}",47850
ganjam,chikiti,sindurapur,"{""0"": 1115, ""10"": 1741}",2856
ganjam,dharakote,abhayapur/,"{""0"": 24526, ""10"": 7956, ""20"": 4, ""30"": 678, ""40"": 10931, ""50"": 39, ""60"": 66}",44200
ganjam,dharakote,andha,"{""0"": 15055, ""10"": 6658, ""20"": 4, ""30"": 1967, ""40"": 13561, ""50"": 115, ""60"": 354}",37714
ganjam,dharakote,andhari,"{""0"": 15055, ""10"": 6658, ""20"": 4, ""30"": 1967, ""40"": 13561, ""50"": 115, ""60"": 354}",37714
ganjam,dharakote,arjunpalli,"{""0"": 621, ""10"": 230, ""30"": 89, ""40"": 1021, ""50"": 2, ""60"": 169}",2132
ganjam,dharakote,ashokpalli,"{""0"": 3389, ""10"": 3228, ""30"": 338}",6955
ganjam,dharakote,badua,"{""0"": 17758, ""10"": 1642, ""30"": 1831, ""40"": 14144, ""50"": 92, ""60"": 357, ""80"": 212}",36036
ganjam,dharakote,barapalli,"{""0"": 17015, ""10"": 13740, ""20"": 46, ""30"": 914, ""40"": 1438, ""50"": 13, ""60"": 122}",33288
ganjam,dharakote,batakhala,"{""0"": 40333, ""10"": 24160, ""20"": 79, ""30"": 5666, ""40"": 32925, ""50"": 439, ""60"": 542, ""90"": 4}",104148
ganjam,dharakote,bhagapadmapur,"{""0"": 7515, ""10"": 1581, ""20"": 2, ""30"": 176, ""40"": 7243, ""50"": 46, ""60"": 165}",16728
ganjam,dharakote,bhaliaguda,"{""0"": 7481, ""10"": 7029, ""30"": 246, ""40"": 148}",14904
ganjam,dharakote,chanapata,"{""0"": 17928, ""10"": 3412, ""30"": 541, ""40"": 8230, ""50"": 901, ""60"": 280, ""90"": 98}",31390
ganjam,dharakote,dhadiamba,"{""0"": 2953, ""10"": 3086, ""30"": 100, ""40"": 1520, ""50"": 10, ""60"": 31}",7700
ganjam,dharakote,g.,"{""0"": 7215, ""10"": 931, ""30"": 3, ""40"": 10474, ""50"": 26, ""60"": 47}",18696
ganjam,dharakote,gambhari,"{""0"": 16417, ""10"": 5758, ""20"": 12, ""30"": 708, ""40"": 8773, ""50"": 94, ""60"": 115}",31877
ganjam,dharakote,gochagada/saba,"{""0"": 23554, ""10"": 24886, ""20"": 172, ""30"": 2249, ""40"": 7508, ""50"": 10, ""60"": 317}",58696
ganjam,dharakote,gudruguma/balarampur,"{""0"": 10052, ""10"": 3341, ""20"": 30, ""30"": 4875, ""40"": 9399, ""50"": 5, ""60"": 1205, ""90"": 7}",28914
ganjam,dharakote,haladibagad,"{""0"": 634, ""10"": 1203, ""30"": 7, ""60"": 1}",1845
ganjam,dharakote,jaisingi,"{""0"": 13366, ""10"": 2716, ""20"": 5, ""30"": 2207, ""40"": 6012, ""50"": 235, ""60"": 404, ""80"": 1298}",26243
ganjam,dharakote,jhilimilli,"{""0"": 6428, ""10"": 4650, ""20"": 4, ""30"": 797, ""40"": 2409, ""60"": 67}",14355
ganjam,dharakote,jiriya,"{""0"": 19857, ""10"": 9478, ""20"": 40, ""30"": 2271, ""40"": 7960, ""50"": 83, ""60"": 757}",40446
ganjam,dharakote,k.burupada,"{""0"": 683, ""10"": 1573}",2256
ganjam,dharakote,kalabada,"{""0"": 28360, ""10"": 6597, ""20"": 9, ""30"": 1582, ""40"": 22351, ""50"": 384, ""60"": 600, ""80"": 594, ""90"": 528}",61005
ganjam,dharakote,kaluamba,"{""0"": 40826, ""10"": 5911, ""20"": 2, ""30"": 949, ""40"": 20948, ""50"": 676, ""60"": 375}",69687
ganjam,dharakote,kalumba/balarampur,"{""0"": 10052, ""10"": 3341, ""20"": 30, ""30"": 4875, ""40"": 9399, ""50"": 5, ""60"": 1205, ""90"": 7}",28914
ganjam,dharakote,kanteipalli,"{""0"": 621, ""10"": 230, ""30"": 89, ""40"": 1021, ""50"": 2, ""60"": 169}",2132
ganjam,dharakote,kathagada/balarampur,"{""0"": 10052, ""10"": 3341, ""20"": 30, ""30"": 4875, ""40"": 9399, ""50"": 5, ""60"": 1205, ""90"": 7}",28914
ganjam,dharakote,kendupada,"{""0"": 18601, ""10"": 4150, ""20"": 1, ""30"": 838, ""40"": 12653, ""50"": 297, ""60"": 452}",36992
ganjam,dharakote,khajuripada,"{""0"": 11972, ""10"": 763, ""20"": 5, ""30"": 111, ""40"": 3676, ""50"": 26, ""60"": 112}",16665
ganjam,dharakote,kharipalli,"{""0"": 1095, ""10"": 1692, ""30"": 592, ""40"": 828, ""60"": 49}",4256
ganjam,dharakote,kumar,"{""0"": 3869, ""10"": 2255, ""30"": 405, ""40"": 2038, ""50"": 4, ""60"": 40}",8611
ganjam,dharakote,kusumabasa,"{""0"": 54139, ""10"": 15864, ""20"": 899, ""30"": 6604, ""40"": 28073, ""50"": 273, ""60"": 4688, ""80"": 249, ""90"": 13}",110802
ganjam,dharakote,kutunidanda,"{""0"": 19520, ""10"": 8730, ""20"": 8, ""30"": 796, ""40"": 11071, ""50"": 80, ""60"": 203, ""80"": 200, ""90"": 25}",40633
ganjam,dharakote,madanagandapalli/jhadab,"{""0"": 10048, ""10"": 6690, ""30"": 4668, ""40"": 1636, ""50"": 1, ""60"": 99}",23142
ganjam,dharakote,mallijhara,"{""0"": 8609, ""10"": 3368, ""30"": 435, ""40"": 790, ""50"": 8, ""60"": 65}",13275
ganjam,dharakote,mallijharapalli,"{""0"": 11951, ""10"": 6458, ""30"": 1408, ""40"": 1345, ""60"": 78}",21240
ganjam,dharakote,mangalpur,"{""0"": 12044, ""10"": 7813, ""20"": 86, ""30"": 1939, ""40"": 8129, ""50"": 24, ""60"": 655}",30690
ganjam,dharakote,new,"{""0"": 523, ""10"": 1301}",1824
ganjam,dharakote,patasala,"{""0"": 2278, ""10"": 6106}",8384
ganjam,dharakote,phata,"{""0"": 6971, ""10"": 1381, ""30"": 170, ""40"": 3707, ""50"": 8, ""60"": 39}",12276
ganjam,dharakote,phatachanchada,"{""0"": 583, ""10"": 1050, ""30"": 5}",1638
ganjam,dharakote,pillipadar,"{""0"": 2822, ""10"": 6007, ""30"": 539, ""40"": 305, ""60"": 23}",9696
ganjam,dharakote,punjiamba/balarampur,"{""0"": 10052, ""10"": 3341, ""20"": 30, ""30"": 4875, ""40"": 9399, ""50"": 5, ""60"": 1205, ""90"": 7}",28914
ganjam,dharakote,purna,"{""0"": 14329, ""10"": 162, ""30"": 45, ""40"": 11169, ""50"": 219, ""60"": 127, ""90"": 24}",26075
ganjam,dharakote,rangamatia,"{""0"": 307, ""10"": 879, ""30"": 2}",1188
ganjam,dharakote,saba,"{""0"": 23554, ""10"": 24886, ""20"": 172, ""30"": 2249, ""40"": 7508, ""50"": 10, ""60"": 317}",58696
ganjam,dharakote,sagakiari/saba,"{""0"": 23554, ""10"": 24886, ""20"": 172, ""30"": 2249, ""40"": 7508, ""50"": 10, ""60"": 317}",58696
ganjam,dharakote,sikulabasa,"{""0"": 131544, ""10"": 33119, ""20"": 42, ""30"": 3557, ""40"": 64551, ""50"": 1058, ""60"": 1053, ""80"": 171, ""90"": 4010}",239105
ganjam,dharakote,sikuliapalli,"{""0"": 17967, ""10"": 4290, ""20"": 2, ""30"": 2615, ""40"": 5733, ""50"": 17, ""60"": 120}",30744
ganjam,dharakote,sundaragada,"{""0"": 67101, ""10"": 17490, ""20"": 41, ""30"": 3142, ""40"": 4009, ""50"": 3, ""60"": 230}",92016
ganjam,dharakote,tanarjipalli/balarampur,"{""0"": 10052, ""10"": 3341, ""20"": 30, ""30"": 4875, ""40"": 9399, ""50"": 5, ""60"": 1205, ""90"": 7}",28914
ganjam,digapahandi,bada,"{""0"": 12749, ""10"": 29573, ""30"": 2040, ""40"": 1159, ""50"": 6, ""60"": 564, ""80"": 13}",46104
ganjam,digapahandi,badadumula,"{""0"": 145466, ""10"": 30122, ""20"": 176, ""30"": 15362, ""40"": 44310, ""50"": 258, ""60"": 3268, ""80"": 837, ""90"": 1}",239800
ganjam,digapahandi,balipata,"{""0"": 15972, ""10"": 10941, ""20"": 183, ""30"": 6927, ""40"": 16318, ""50"": 136, ""60"": 681, ""80"": 495}",51653
ganjam,digapahandi,burubandha,"{""0"": 13630, ""10"": 1408, ""30"": 1, ""60"": 5, ""80"": 8200}",23244
ganjam,digapahandi,chanabagada,"{""0"": 31705, ""10"": 4754, ""20"": 9, ""30"": 2590, ""40"": 20679, ""50"": 153, ""60"": 506, ""90"": 364}",60760
ganjam,digapahandi,dhamanpadar,"{""0"": 38534, ""10"": 32527, ""30"": 2260, ""40"": 57, ""60"": 1502}",74880
ganjam,digapahandi,malakotapalli,"{""0"": 11589, ""10"": 3874, ""20"": 12, ""30"": 2760, ""40"": 6547, ""50"": 101, ""60"": 1034}",25917
ganjam,digapahandi,sana,"{""0"": 5937, ""10"": 1627, ""30"": 1532, ""40"": 12837, ""50"": 178, ""60"": 160, ""80"": 204}",22475
ganjam,digapahandi,siripur,"{""0"": 6851, ""10"": 2189, ""30"": 46, ""60"": 21, ""80"": 9197}",18304
ganjam,jagannath prasad,adivasi,"{""0"": 4733, ""10"": 2146, ""30"": 923, ""40"": 3790, ""50"": 165, ""60"": 813, ""90"": 6}",12576
ganjam,jagannath prasad,badabhumi,"{""0"": 7061, ""10"": 4582, ""20"": 14, ""30"": 725, ""40"": 948, ""50"": 4, ""60"": 22}",13356
ganjam,jagannath prasad,banjarsahi,"{""0"": 11233, ""10"": 10895, ""30"": 109, ""40"": 142, ""60"": 437}",22816
ganjam,jagannath prasad,delingpadar,"{""0"": 17434, ""10"": 5710, ""30"": 532, ""40"": 15067, ""50"": 159, ""60"": 414, ""80"": 181, ""90"": 23}",39520
ganjam,jagannath prasad,dhanapaju,"{""0"": 35694, ""10"": 2697, ""20"": 3, ""30"": 2420, ""40"": 5214, ""50"": 85, ""60"": 159}",46272
ganjam,jagannath prasad,ghogada,"{""0"": 22747, ""10"": 14764, ""20"": 244, ""30"": 3320, ""40"": 2867, ""50"": 23, ""60"": 153}",44118
ganjam,jagannath prasad,gramdevati,"{""0"": 12968, ""10"": 3481, ""20"": 13, ""30"": 202, ""40"": 5552, ""50"": 51, ""60"": 327, ""80"": 3634}",26228
ganjam,jagannath prasad,jiripada,"{""0"": 24572, ""10"": 22374, ""30"": 2294, ""40"": 1381, ""50"": 2, ""60"": 77}",50700
ganjam,jagannath prasad,kadaligada,"{""0"": 49821, ""10"": 33753, ""20"": 137, ""30"": 3300, ""40"": 4612, ""50"": 8, ""60"": 160}",91791
ganjam,jagannath prasad,kainfulia,"{""0"": 34789, ""10"": 7032, ""20"": 868, ""30"": 7593, ""40"": 22062, ""50"": 64, ""60"": 1329, ""80"": 138}",73875
ganjam,jagannath prasad,kandhabanta,"{""0"": 271299, ""10"": 146178, ""20"": 459, ""30"": 15751, ""40"": 22267, ""50"": 73, ""60"": 4924, ""80"": 5}",460956
ganjam,jagannath prasad,kathapatani,"{""0"": 4077, ""10"": 3994, ""20"": 2, ""30"": 1054, ""40"": 1147, ""60"": 76}",10350
ganjam,jagannath prasad,khajuripalli,"{""0"": 31861, ""10"": 3777, ""20"": 29, ""30"": 1403, ""40"": 17616, ""50"": 9, ""60"": 640}",55335
ganjam,jagannath prasad,khetamundali,"{""0"": 54056, ""10"": 27573, ""20"": 46, ""30"": 4835, ""40"": 11807, ""50"": 47, ""60"": 2092, ""80"": 545}",101001
ganjam,jagannath prasad,khurudupalli,"{""0"": 11589, ""10"": 3874, ""20"": 12, ""30"": 2760, ""40"": 6547, ""50"": 101, ""60"": 1034}",25917
ganjam,jagannath prasad,narabari,"{""0"": 2228, ""10"": 2279, ""30"": 154, ""40"": 131, ""60"": 53}",4845
ganjam,jagannath prasad,naragadu,"{""0"": 2086, ""10"": 4473, ""20"": 17, ""30"": 380, ""40"": 1098, ""50"": 8, ""60"": 116}",8178
ganjam,jagannath prasad,narayanprasad,"{""0"": 10014, ""10"": 7694, ""20"": 1, ""30"": 1015, ""40"": 1918, ""60"": 93}",20735
ganjam,jagannath prasad,rampo,"{""0"": 26517, ""10"": 18043, ""20"": 59, ""30"": 1746, ""40"": 4831, ""50"": 8, ""60"": 566}",51770
ganjam,jagannath prasad,rudhapadar,"{""0"": 155173, ""10"": 23559, ""20"": 130, ""30"": 5792, ""40"": 14296, ""50"": 120, ""60"": 610}",199680
ganjam,jagannath prasad,sarangapatta,"{""0"": 30406, ""10"": 22231, ""20"": 40, ""30"": 1474, ""40"": 10202, ""60"": 195}",64548
ganjam,jagannath prasad,talataila,"{""0"": 247, ""10"": 589, ""60"": 5}",841
ganjam,jagannath prasad,tirigochha,"{""0"": 57896, ""10"": 29769, ""20"": 146, ""30"": 5699, ""40"": 16929, ""50"": 23, ""60"": 1018, ""80"": 138}",111618
ganjam,jagannath prasad,toladi,"{""0"": 537, ""10"": 744, ""30"": 9, ""40"": 12}",1302
ganjam,khallikote,badapalli,"{""0"": 6377, ""10"": 5335, ""30"": 33, ""40"": 1866, ""50"": 36, ""60"": 177}",13824
ganjam,khallikote,kurumipur,"{""0"": 4865, ""10"": 1094, ""30"": 558, ""40"": 2972, ""50"": 7, ""60"": 75, ""80"": 439, ""90"": 70}",10080
ganjam,khallikote,"kurumipur,","{""0"": 4865, ""10"": 1094, ""30"": 558, ""40"": 2972, ""50"": 7, ""60"": 75, ""80"": 439, ""90"": 70}",10080
ganjam,khallikote,mareinuagam,"{""0"": 24044, ""10"": 2707, ""30"": 67, ""40"": 13743, ""50"": 151, ""60"": 303, ""90"": 49}",41064
ganjam,khallikote,moreinuagaon,"{""0"": 20566, ""10"": 16394, ""30"": 257, ""40"": 2880, ""50"": 11, ""60"": 71}",40179
ganjam,khallikote,nuapalli,"{""0"": 21841, ""10"": 10769, ""30"": 260, ""40"": 2381, ""50"": 26, ""60"": 123}",35400
ganjam,khallikote,pathurinuagaon,"{""0"": 1407, ""10"": 831, ""30"": 37, ""40"": 637, ""50"": 617, ""60"": 384}",3913
ganjam,khallikote,ramchandrapur,"{""0"": 2739, ""10"": 1917, ""30"": 65, ""40"": 2330, ""50"": 2, ""60"": 91}",7144
ganjam,kukudakhandi,baliaput,"{""0"": 40899, ""10"": 10371, ""30"": 1041, ""40"": 52917, ""50"": 305, ""60"": 1622, ""80"": 3032, ""90"": 7}",110194
ganjam,kukudakhandi,baniamari,"{""0"": 16180, ""10"": 14551, ""20"": 4, ""30"": 20, ""40"": 645, ""50"": 11, ""60"": 431}",31842
ganjam,kukudakhandi,bardhangada,"{""0"": 5753, ""10"": 8435, ""30"": 451, ""40"": 1120, ""50"": 15, ""60"": 62}",15836
ganjam,kukudakhandi,betajhari,"{""0"": 13478, ""10"": 19394, ""20"": 1, ""30"": 639, ""40"": 1158, ""50"": 4, ""60"": 46}",34720
ganjam,kukudakhandi,bhaliaguda,"{""0"": 12395, ""10"": 10541, ""30"": 22, ""40"": 2}",22960
ganjam,kukudakhandi,bikashpur,"{""0"": 13891, ""10"": 1814, ""30"": 136, ""40"": 11708, ""50"": 127, ""60"": 121}",27797
ganjam,kukudakhandi,burugam,"{""0"": 11638, ""10"": 16318, ""20"": 45, ""30"": 1354, ""40"": 2204, ""50"": 2, ""60"": 163}",31724
ganjam,kukudakhandi,kantiguda,"{""0"": 4120, ""10"": 7504, ""30"": 22, ""60"": 9}",11655
ganjam,kukudakhandi,lochapada,"{""0"": 39754, ""10"": 21345, ""20"": 1, ""30"": 1275, ""40"": 2804, ""60"": 299, ""80"": 351, ""90"": 3}",65832
ganjam,kukudakhandi,nuapada,"{""0"": 21129, ""10"": 4130, ""20"": 2, ""30"": 1058, ""40"": 4051, ""50"": 20, ""60"": 109, ""90"": 5}",30504
ganjam,kukudakhandi,ramaguda,"{""0"": 18425, ""10"": 15889, ""20"": 67, ""30"": 730, ""40"": 1751, ""50"": 10, ""60"": 412, ""80"": 308, ""90"": 8}",37600
ganjam,patrapur,a.goudini,"{""0"": 11919, ""10"": 4362, ""30"": 2075, ""40"": 5400, ""50"": 38, ""60"": 382, ""80"": 6577}",30753
ganjam,patrapur,a.saradhapur,"{""0"": 4537, ""10"": 1666, ""30"": 138, ""40"": 9749, ""50"": 242, ""60"": 39}",16371
ganjam,patrapur,aliar,"{""0"": 14331, ""10"": 12057, ""20"": 6, ""30"": 2713, ""40"": 399, ""60"": 42}",29548
ganjam,patrapur,andaanda,"{""0"": 80523, ""10"": 23546, ""30"": 344, ""40"": 482, ""50"": 55, ""60"": 1650}",106600
ganjam,patrapur,ankuli,"{""0"": 12516, ""10"": 10321, ""20"": 14, ""30"": 7870, ""40"": 2153, ""50"": 35, ""60"": 241}",33150
ganjam,patrapur,b.saradhapur,"{""0"": 4537, ""10"": 1666, ""30"": 138, ""40"": 9749, ""50"": 242, ""60"": 39}",16371
ganjam,patrapur,badua,"{""0"": 12576, ""10"": 9489, ""20"": 81, ""30"": 569, ""40"": 1016, ""60"": 5}",23736
ganjam,patrapur,baniabasa,"{""0"": 56015, ""10"": 31388, ""20"": 178, ""30"": 5609, ""40"": 41069, ""50"": 374, ""60"": 1252, ""80"": 1576, ""90"": 74}",137535
ganjam,patrapur,batadheapada,"{""0"": 7345, ""10"": 1046, ""20"": 1, ""30"": 419, ""40"": 175, ""60"": 40, ""80"": 6275}",15301
ganjam,patrapur,batadhiapada,"{""0"": 7345, ""10"": 1046, ""20"": 1, ""30"": 419, ""40"": 175, ""60"": 40, ""80"": 6275}",15301
ganjam,patrapur,bengeisahi,"{""0"": 13925, ""10"": 1131, ""20"": 2, ""30"": 36, ""40"": 3, ""60"": 73, ""80"": 5106}",20276
ganjam,patrapur,bodajhola,"{""0"": 4134, ""10"": 3192, ""20"": 57, ""30"": 158, ""40"": 1237, ""50"": 5, ""60"": 127}",8910
ganjam,patrapur,budarosing,"{""0"": 1031, ""10"": 604, ""60"": 11, ""80"": 152}",1798
ganjam,patrapur,burasahi,"{""0"": 2863, ""10"": 2123, ""20"": 3, ""30"": 31, ""40"": 1830, ""50"": 2, ""60"": 520}",7372
ganjam,patrapur,buratal,"{""0"": 8598, ""10"": 13407, ""30"": 856, ""40"": 347, ""60"": 379}",23587
ganjam,patrapur,chachadakhol,"{""0"": 10520, ""10"": 6955, ""20"": 33, ""30"": 88, ""40"": 1501, ""60"": 79}",19176
ganjam,patrapur,chanchadakhola,"{""0"": 10520, ""10"": 6955, ""20"": 33, ""30"": 88, ""40"": 1501, ""60"": 79}",19176
ganjam,patrapur,chanchadkhola,"{""0"": 10520, ""10"": 6955, ""20"": 33, ""30"": 88, ""40"": 1501, ""60"": 79}",19176
ganjam,patrapur,dalaibila,"{""0"": 17491, ""10"": 11050, ""20"": 523, ""30"": 3354, ""40"": 12243, ""50"": 43, ""60"": 469}",45173
ganjam,patrapur,daleibila,"{""0"": 17491, ""10"": 11050, ""20"": 523, ""30"": 3354, ""40"": 12243, ""50"": 43, ""60"": 469}",45173
ganjam,patrapur,dantarigada,"{""0"": 2514, ""10"": 3291, ""20"": 1, ""30"": 1335, ""40"": 525, ""60"": 10}",7676
ganjam,patrapur,daubada,"{""0"": 7045, ""10"": 6234, ""30"": 21, ""40"": 338, ""50"": 15, ""60"": 247}",13900
ganjam,patrapur,dengapathar,"{""0"": 4005, ""10"": 6879, ""30"": 12, ""40"": 95, ""50"": 1, ""60"": 32}",11024
ganjam,patrapur,dhanbada,"{""0"": 44720, ""10"": 60961, ""20"": 2, ""30"": 4222, ""40"": 778, ""50"": 1, ""60"": 1096}",111780
ganjam,patrapur,dhepasahi,"{""0"": 10903, ""10"": 9582, ""20"": 16, ""30"": 8123, ""40"": 1752, ""60"": 54}",30430
ganjam,patrapur,elagal,"{""0"": 17302, ""10"": 7052, ""20"": 179, ""30"": 590, ""40"": 20210, ""50"": 344, ""60"": 293, ""80"": 260}",46230
ganjam,patrapur,gadanga,"{""0"": 79496, ""10"": 88796, ""20"": 8, ""30"": 4282, ""40"": 1891, ""50"": 14, ""60"": 1013}",175500
ganjam,patrapur,gaida,"{""0"": 5572, ""10"": 5832, ""30"": 148, ""40"": 4}",11556
ganjam,patrapur,gambharikhola,"{""0"": 1304, ""10"": 2186, ""30"": 3, ""40"": 1, ""60"": 13, ""80"": 70}",3577
ganjam,patrapur,gopinathapur,"{""0"": 18630, ""10"": 1693, ""30"": 817, ""40"": 20182, ""50"": 858, ""60"": 64, ""80"": 11, ""90"": 109}",42364
ganjam,patrapur,gopinathpur,"{""0"": 18630, ""10"": 1693, ""30"": 817, ""40"": 20182, ""50"": 858, ""60"": 64, ""80"": 11, ""90"": 109}",42364
ganjam,patrapur,gudipadar,"{""0"": 35956, ""10"": 10268, ""30"": 1754, ""40"": 17530, ""50"": 793, ""60"": 570, ""80"": 14, ""90"": 123}",67008
ganjam,patrapur,gujulingi,"{""0"": 10027, ""10"": 13556, ""20"": 14, ""30"": 274, ""40"": 735, ""50"": 17, ""60"": 781}",25404
ganjam,patrapur,guruda,"{""0"": 5128, ""10"": 7304, ""30"": 1, ""40"": 1, ""60"": 46}",12480
ganjam,patrapur,haladibada,"{""0"": 3341, ""10"": 7094, ""30"": 973, ""40"": 130, ""60"": 18}",11556
ganjam,patrapur,haripur,"{""0"": 10772, ""10"": 6766, ""20"": 16, ""30"": 299, ""40"": 3224, ""50"": 18, ""60"": 205}",21300
ganjam,patrapur,j.badagaon,"{""0"": 95019, ""10"": 18876, ""20"": 3, ""30"": 789, ""40"": 62281, ""50"": 397, ""60"": 2247}",179612
ganjam,patrapur,jama,"{""0"": 4346, ""10"": 2958, ""20"": 4, ""30"": 312, ""40"": 2970, ""50"": 24, ""60"": 42}",10656
ganjam,patrapur,jamapadar,"{""0"": 4346, ""10"": 2958, ""20"": 4, ""30"": 312, ""40"": 2970, ""50"": 24, ""60"": 42}",10656
ganjam,patrapur,jampadar,"{""0"": 4346, ""10"": 2958, ""20"": 4, ""30"": 312, ""40"": 2970, ""50"": 24, ""60"": 42}",10656
ganjam,patrapur,jantragada/,"{""0"": 2514, ""10"": 3291, ""20"": 1, ""30"": 1335, ""40"": 525, ""60"": 10}",7676
ganjam,patrapur,jubasahi,"{""0"": 6476, ""10"": 6084, ""30"": 274, ""40"": 131, ""60"": 27}",12992
ganjam,patrapur,karabanki,"{""0"": 2326, ""10"": 506, ""30"": 12, ""40"": 2079, ""60"": 5}",4928
